id,hidden_dim,num_layers,batch_size,lr,accum_steps,num_neighbors
0,256,5,128,0.003,5,15 10 10 10 10
1,128,5,128,0.003,5,15 10 10 10 10
2,256,5,128,0.003,5,15 10 10 10 10
3,160,5,128,0.003,5,15 10 10 10 10
4,192,5,128,0.003,5,15 10 10 10 10
5,224,5,128,0.003,5,15 10 10 10 10
6,256,2,128,0.003,5,15 10
7,256,3,128,0.003,5,15 10 10
8,256,4,128,0.003,5,15 10 10 10
9,256,5,128,0.003,5,15 10 10 10 10
10,256,5,128,0.003,5,15 10 10 10 10
11,256,5,64,0.003,5,15 10 10 10 10
12,256,5,128,0.003,5,15 10 10 10 10
13,256,5,80,0.003,5,15 10 10 10 10
14,256,5,96,0.003,5,15 10 10 10 10
15,256,5,112,0.003,5,15 10 10 10 10
16,256,5,128,0.0005,5,15 10 10 10 10
17,256,5,128,0.001,5,15 10 10 10 10
18,256,5,128,0.003,5,15 10 10 10 10
19,256,5,128,0.005,5,15 10 10 10 10
20,256,5,128,0.01,5,15 10 10 10 10
21,256,5,128,0.003,1,15 10 10 10 10
22,256,5,128,0.003,2,15 10 10 10 10
23,256,5,128,0.003,4,15 10 10 10 10
24,256,5,128,0.003,5,15 10 10 10 10
25,256,5,128,0.003,8,15 10 10 10 10
26,256,5,128,0.003,5,10 10 10 10 10
27,256,5,128,0.003,5,15 12 10 10 10
28,256,5,128,0.003,5,12 12 12 10 10
29,256,5,128,0.003,5,10 10 10 10 5
30,256,5,128,0.003,5,15 10 8 5 5

